"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ssh2",3209.23465109443,-1.02593279187541,0.0841238922273647,-12.1954983859114,3.2848806604695e-34,2.21867755346343e-31
"Serpinb6a",2396.23473055313,0.826177845375467,0.0680363981064928,12.143174365026,6.23589679819789e-34,4.00126318056367e-31
"Ankrd45",106.705294798147,1.7290039754718,0.148034911973067,11.6797041483456,1.61857893441982e-31,9.89105879305218e-29
"Nudt16",144.052734398978,1.25908844828356,0.10785575488594,11.6738179582078,1.73460055040896e-31,1.01182403924537e-28
"Zbtb16",3205.76329897148,-1.24424673810716,0.106774164175688,-11.6530693329508,2.21340329121644e-31,1.23498280157307e-28
"Ric3",85.0291232598845,1.70226790834283,0.149104656070634,11.4165979333095,3.45495196884074e-30,1.77349594464533e-27
"Lama2",1811.70905012186,-1.38954560515008,0.121676342927921,-11.4200145378566,3.32178377374323e-30,1.77349594464533e-27
"Cds1",150.071491973097,2.00521775810481,0.17603337721848,11.3911224665994,4.62986655481022e-30,2.28519528837998e-27
"Tmem8",162.392187286125,0.927087716304378,0.0820122074690996,11.3042648761001,1.24996557466966e-29,5.94104008138359e-27
"Pde1c",1284.92590864033,-1.06440035729446,0.0942460255401456,-11.2938487452828,1.40736113672915e-29,6.45023766701612e-27
"Lrrcc1",177.814626586637,1.14134200797963,0.101730136269536,11.2193107159085,3.27815518906933e-29,1.45064019108023e-26
"Prodh",541.029549454907,-1.15477283314323,0.103490531327141,-11.1582462504991,6.52663413184706e-29,2.79187652713311e-26
"Tspan17",185.083677252207,1.74302996719244,0.156857491776675,11.1121881871863,1.09444227007255e-28,4.53063795220677e-26
"Tmem135",869.372517260124,-0.493089997000815,0.0444035823439124,-11.1047345951,1.18970259453758e-28,4.77107918615647e-26
"Top1",1777.37623364802,-1.13041033848436,0.104134103760469,-10.8553326687725,1.88120541893246e-27,7.31560883065462e-25
"Fry",2419.15909460621,-1.147393823713,0.106882134760999,-10.7351319870127,6.96194142160623e-27,2.55264555038493e-24
"Cib3",16.2663193053276,3.30214348515703,0.307593761729849,10.7354046017917,6.94142309865884e-27,2.55264555038493e-24
"Prkcq",142.707882978012,1.40617418608373,0.131477146662597,10.6951985328091,1.07189853051692e-26,3.82102051170101e-24
"Tnrc18",1504.08163757087,-0.750433875544681,0.0703776313618459,-10.6629601056951,1.5169112658241e-26,5.26122223630288e-24
"Amot",245.655492690297,1.65566325457247,0.157809466299842,10.4915331975502,9.44826177182046e-26,3.19077745573084e-23
"Steap4",5292.76412418227,-2.00574813376055,0.191869335133093,-10.4537191019567,1.40889584485444e-25,4.63598984026076e-23
"Akap9",1117.57559177439,-0.790173759031414,0.075669250717781,-10.4424683941761,1.58631338184617e-25,5.08928990730799e-23
"Vsig4",103.961321108556,2.89409047755706,0.277848913388387,10.4160582896058,2.09454926924697e-25,6.55593921274302e-23
"S100a6",1308.31110017478,1.73442316373482,0.166609680649607,10.4100983626663,2.22991132447847e-25,6.8134409588172e-23
"Zfp217",416.451424705594,-0.914460681959231,0.0878706361385386,-10.4068972542486,2.30615737491409e-25,6.88253897494711e-23
"Igf1r",806.360924938054,-1.21370825195915,0.118026522553249,-10.2833517899468,8.3762890104938e-25,2.44302083799243e-22
"Tnik",829.007396668557,-1.68057304711136,0.163564842147011,-10.2746594258983,9.16676259188965e-25,2.55371289815965e-22
"Casq1",238.325912835985,-1.83807156713221,0.178885826907645,-10.2751101018259,9.12401975428552e-25,2.55371289815965e-22
"Armcx4",425.334569779717,-1.54589591186725,0.150485522956671,-10.2727217973808,9.35280185564589e-25,2.55371289815965e-22
"Ryr2",35322.3653850594,-1.03188504371868,0.100711555251536,-10.2459448783355,1.23413068550109e-24,3.29949980979906e-22
"Cd84",123.622273199619,1.49076978495051,0.145887152617014,10.2186502252471,1.63603013439412e-24,4.28472953360812e-22
"Nova1",66.903646889622,1.163184624267,0.113999344444041,10.2034325718248,1.91386308135259e-24,4.91212098459956e-22
"Lrat",23.8073021735292,-3.44300024797167,0.339926872840946,-10.12864978634,4.12303225531513e-24,1.03746809671488e-21
"Helb",321.218847897237,-0.818368535060691,0.0808701901396972,-10.1195327183851,4.52571088095116e-24,1.11689322567781e-21
"Thrb",499.024477059829,-0.817883632134264,0.0808517735966331,-10.1158403304133,4.69966499554021e-24,1.13793963939184e-21
"Npnt",176.396641339624,-1.87169077821917,0.185573896738374,-10.0859593462001,6.37394745972835e-24,1.51475681019804e-21
"Tgfbr3",1706.48061652195,-1.24131136090178,0.123385306853002,-10.0604471679975,8.26222055921979e-24,1.92780138975396e-21
"Kcne1",201.595479990382,-1.70962678732289,0.17006475728716,-10.052798796144,8.9294639152764e-24,2.04628232901325e-21
"Rsbn1l",509.973456347085,-0.481417736539907,0.0479845362817857,-10.0327683425514,1.09405345980251e-23,2.46315579818345e-21
"Myh6",286135.655829486,-1.31981568911414,0.131636447290326,-10.0262177860457,1.16909398352239e-23,2.58672122250739e-21
"Pisd-ps1",446.718853224913,1.5529002175623,0.155888803929059,9.96158914830716,2.24445968743583e-23,4.88189002862102e-21
"Elf2",1234.48873305754,-0.569490632965039,0.0574103050963138,-9.9196587095233,3.41923310669201e-23,7.31316974302976e-21
"Prkcz",48.1946658276395,1.61934125591829,0.163435791373183,9.908118915157,3.83804055879653e-23,8.07435647394031e-21
"Bcl6",686.087861200002,-1.03298575546591,0.104690095284291,-9.86708200676282,5.78222179825619e-23,1.17782940217495e-20
"Myo1b",509.725582338851,-0.737995718825148,0.0747890418536493,-9.86769853622798,5.74680016422965e-23,1.17782940217495e-20
"Lnpep",2585.63184479642,-1.05709827009058,0.107658637697204,-9.81898241238879,9.32803610991322e-23,1.86811390009468e-20
"Wif1",136.605411102257,-1.1961234146755,0.121835306844004,-9.81754341708999,9.4621213672683e-23,1.86811390009468e-20
"Mcfd2",2145.30085628521,0.438902880209598,0.0448067259180813,9.79546867610969,1.1775006176493e-22,2.28952506458992e-20
"Sumo3",1312.98869748037,0.599521657262937,0.0612548867409263,9.78732782248991,1.27624138062717e-22,2.44447845337142e-20
